treatment	cord_prnp_pct	cortex_prnp_pct
saline	98.42209474	85.22853891
saline	104.3523882	90.95847155
saline	94.66501127	104.4666669
saline	102.5605058	119.3463227
active ASO 1	47.0841046	47.29563784
active ASO 1	48.64923779	41.2186577
active ASO 1	70.55635159	46.21151137
active ASO 1	54.01395584	41.59836417
active ASO 2	58.8742885	27.42750222
active ASO 2	39.67729424	36.15778268
active ASO 2	51.4440201	31.54333578
active ASO 2	47.44039957	40.24562012
control ASO 3	103.8683297	76.12400892
control ASO 3	95.04677382	98.63890292
control ASO 3	78.48498326	102.2662691
control ASO 3	94.52674744	108.9319905
control ASO 4	89.72553178	108.9955635
control ASO 4	84.30162934	100.9658794
control ASO 4	88.18136293	95.97470635
control ASO 4	82.97927776	104.4562044
active ASO 5	43.97595327	45.62690433
active ASO 5	42.62250297	34.86104203
active ASO 5	29.95017307	42.17498584
active ASO 5	56.46764977	32.40864174
active ASO 6	22.62391235	53.08215381
active ASO 6	25.95352251	33.42504251
active ASO 6	42.13789857	26.26111337
active ASO 6	26.18942579	23.68025765
