name	utc_pct	sd_pct	n
1	86.079	7.129	2
2	73.589	1.918	2
3	81.923	3.825	2
4	53.216	1.871	2
5	33.397	2.670	2
6	69.598	3.824	2
7	83.400	9.238	2
8	179.686	37.701	2
9	67.223	3.231	2
10	152.844	16.018	2
11	91.687	6.480	2
12	96.719	7.108	2
13	62.531	12.778	2
14	90.135	16.458	2
15	85.755	3.799	2
16	124.313	22.613	2
17	94.756	10.567	2
18	86.323	2.018	2
19	38.749	5.939	2
20	86.026	14.274	2
21	95.320	.357	2
22	100.619	7.980	2
23	85.623	10.367	2
24	73.497	8.627	2
25	96.347	8.420	2
26	95.956	4.754	2
27	104.122	5.394	2
28	107.111	3.323	2
29	121.388	7.113	2
30	92.413	2.249	2
31	92.473	3.690	2
32	151.975	9.241	2
33	97.700	7.924	2
34	138.337	8.772	2
35	81.005	7.105	2
36	60.756	.842	2
37	73.895	3.124	2
38	87.552	4.602	2
39	94.554	11.087	2
40	51.190	2.712	2
41	93.199	4.005	2
42	105.847	3.139	2
43	82.965	2.295	2
44	100.840	3.032	2
45	53.809	2.600	2
46	86.063	.831	2
47	59.675	11.796	2
48	120.708	21.548	2
49	96.520	2.317	2
50	89.941	8.737	2
51	69.644	14.788	2
52	40.731	.133	2
53	27.987	20.741	2
54	122.262	3.099	2
55	83.592	7.185	2
56	69.145	11.613	2
57	59.678	1.529	2
58	98.882	3.125	2
59	42.194	9.521	2
60	93.594	.146	2
61	69.152	8.389	2
62	43.410	7.499	2
63	96.406	1.988	2
64	82.628	2.287	2
65	66.473	2.750	2
66	78.385	.597	2
67	28.178	12.829	2
active ASO 2	6.147	1.709	2
69	128.702	15.217	2
70	34.737	4.754	2
71	55.671	8.952	2
72	30.056	.275	2
73	110.568	23.108	2
74	63.774	3.109	2
75	47.862	4.515	2
76	43.724	.762	2
77	59.287	24.085	2
78	92.632	5.236	2
79	67.516	2.051	2
80	89.573	1.630	2
81	95.005	13.649	2
82	28.297	4.678	2
83	45.523	.935	2
84	98.203	.311	2
85	164.435	42.403	2
86	90.836	15.489	2
87	96.798	1.012	2
88	154.202	1.458	2
89	71.663	5.337	2
90	52.652	6.948	2
91	45.147	13.890	2
92	29.457	.911	2
93	116.612	4.395	2
94	36.489	.024	2
95	63.170	8.703	2
96	39.091	7.332	2
97	52.030	9.238	2
98	83.024	3.085	2
99	64.573	13.741	2
100	89.331	.385	2
101	82.824	3.566	2
102	98.812	11.381	2
103	78.728	2.469	2
104	50.360	3.137	2
105	126.827	6.309	2
106	58.100	13.142	2
107	39.895	6.267	2
108	79.138	7.035	2
109	59.840	21.265	2
110	72.902	.262	2
111	89.480	2.315	2
112	52.506	3.801	2
113	77.737	20.398	2
114	41.590	3.190	2
115	48.312	12.603	2
116	78.510	4.468	2
117	28.067	14.942	2
118	10.761	.119	2
119	54.552	5.229	2
120	17.529	3.165	2
121	27.763	10.975	2
122	21.992	8.066	2
123	32.879	6.955	2
124	55.262	10.141	2
125	64.166	7.164	2
126	12.713	.919	2
127	37.330	12.351	2
128	24.117	2.446	2
129	43.900	15.270	2
130	99.642	21.619	2
131	97.924	13.901	2
132	30.094	3.303	2
133	100.467	5.932	2
134	180.253	12.181	2
135	66.977	1.961	2
136	51.000	5.912	2
137	55.348	1.342	2
138	57.119	.342	2
139	106.617	16.013	2
140	15.566	.041	2
141	72.502	13.776	2
142	27.201	.173	2
143	40.769	5.096	2
144	5.246	.325	2
145	38.741	13.252	2
146	22.186	3.395	2
147	63.301	6.144	2
148	66.542	12.172	2
149	77.271	11.504	2
150	25.906	.475	2
151	59.513	24.503	2
152	88.220	5.019	2
153	60.618	13.149	2
154	90.752	7.276	2
155	90.928	8.061	2
156	48.342	.587	2
157	58.132	12.930	2
158	59.696	4.262	2
159	69.849	3.548	2
160	83.706	.016	2
161	80.605	3.514	2
162	49.262	.130	2
163	114.182	1.003	2
164	58.201	3.182	2
165	116.113	1.991	2
166	64.691	5.446	2
167	99.905	.999	2
168	86.495	22.926	2
169	53.481	6.803	2
170	96.088	3.342	2
171	60.774	2.356	2
172	132.200	10.132	2
173	116.808	5.195	2
174	83.437	7.687	2
175	76.555	9.913	2
176	127.661	17.520	2
177	48.583	1.679	2
178	80.499	8.266	2
179	116.612	36.514	2
180	90.837	17.947	2
181	96.507	5.662	2
182	80.409	2.478	2
183	88.670	16.306	2
184	73.779	.812	2
185	37.054	1.218	2
186	69.892	.128	2
187	68.113	.917	2
188	113.501	2.989	2
189	108.471	3.419	2
190	46.196	.208	2
191	58.847	5.273	2
192	140.714	50.819	2
193	96.309	.736	2
194	73.948	2.616	2
195	150.574	7.464	2
196	65.168	.427	2
197	150.394	8.558	2
198	62.201	8.981	2
199	55.510	1.607	2
200	70.405	4.521	2
201	89.444	11.195	2
202	77.365	6.731	2
203	69.759	15.087	2
204	98.278	9.965	2
205	81.307	.436	2
206	81.846	6.231	2
207	52.215	.104	2
208	132.788	3.626	2
209	55.667	5.222	2
210	68.216	6.401	2
211	92.728	5.631	2
212	117.041	.730	2
213	124.266	1.380	2
214	85.544	1.454	2
215	78.950	1.950	2
216	114.147	22.494	2
217	70.772	.344	2
218	108.706	3.964	2
219	60.534	1.219	2
220	48.461	1.877	2
221	40.825	2.158	2
222	98.711	17.604	2
223	92.844	.215	2
224	106.782	28.075	2
225	60.250	5.989	2
226	91.103	15.014	2
227	136.297	8.074	2
228	63.302	10.839	2
229	91.067	6.316	2
230	102.396	.710	2
231	101.112	4.102	2
232	79.496	15.729	2
233	131.260	8.566	2
234	97.806	1.238	2
235	84.177	2.483	2
236	82.069	19.935	2
237	73.008	3.436	2
238	134.049	4.735	2
239	68.905	8.652	2
240	102.137	1.520	2
241	78.577	9.675	2
242	119.328	13.990	2
243	70.048	1.561	2
244	158.471	9.063	2
245	109.804	8.463	2
246	83.761	12.464	2
247	95.619	18.725	2
248	85.479	7.204	2
249	116.087	4.235	2
250	93.366	21.961	2
251	92.661	.014	2
252	111.566	1.001	2
253	53.707	1.931	2
254	74.691	6.962	2
255	68.298	2.873	2
256	105.066	27.696	2
257	45.447	.737	2
258	50.358	7.533	2
259	111.803	5.225	2
260	69.718	11.483	2
261	106.668	22.572	2
262	90.151	.223	2
263	107.605	8.776	2
264	163.067	2.902	2
265	146.578	5.647	2
266	75.274	1.580	2
267	76.252	12.074	2
268	48.947	5.840	2
269	73.525	14.287	2
270	94.998	8.873	2
271	90.324	1.353	2
272	70.058	.698	2
273	91.603	4.991	2
274	125.383	19.406	2
275	70.879	.797	2
276	102.658	38.184	2
277	102.815	.265	2
278	76.114	12.865	2
279	112.184	.966	2
280	96.329	23.669	2
281	74.939	.961	2
282	77.286	7.707	2
283	53.946	5.404	2
284	121.866	29.780	2
285	133.843	18.006	2
286	49.393	6.285	2
287	49.141	6.681	2
288	60.464	3.895	2
289	88.465	3.570	2
290	113.646	5.342	2
291	114.529	8.092	2
292	95.031	9.517	2
293	131.030	.183	2
294	165.505	42.816	2
295	62.032	4.080	2
296	106.819	21.471	2
297	89.686	.615	2
298	106.097	10.125	2
299	118.552	8.290	2
300	91.387	15.054	2
301	52.236	5.379	2
302	64.022	4.677	2
303	7.905	.797	2
304	75.073	18.625	2
305	8.624	1.491	2
306	66.263	9.467	2
307	129.220	7.094	2
308	71.036	5.627	2
309	57.472	1.437	2
310	117.818	10.379	2
311	75.942	7.978	2
312	76.618	17.203	2
313	102.531	6.588	2
314	93.165	22.277	2
315	101.978	21.517	2
316	122.256	21.361	2
317	50.598	3.577	2
318	94.281	23.558	2
319	44.257	10.542	2
320	105.172	32.835	2
321	92.299	14.010	2
322	61.414	6.431	2
323	80.205	14.152	2
324	95.079	.372	2
325	50.140	10.752	2
326	48.144	3.031	2
327	70.489	5.181	2
328	47.491	3.982	2
329	130.100	12.896	2
330	111.437	3.384	2
331	68.476	9.624	2
332	113.358	22.296	2
333	96.940	6.767	2
334	83.512	8.525	2
335	97.451	7.177	2
336	80.517	5.821	2
337	91.433	.107	2
338	117.108	22.705	2
339	98.457	1.824	2
340	64.778	3.059	2
341	73.143	7.582	2
342	31.994	6.211	2
343	46.656	2.969	2
344	47.666	15.238	2
345	135.271	6.928	2
346	103.504	11.016	2
347	126.277	1.489	2
348	102.564	6.241	2
349	51.624	7.159	2
350	74.162	8.832	2
351	56.825	7.270	2
352	38.587	2.774	2
353	53.457	4.533	2
354	75.839	12.117	2
355	94.910	.933	2
356	117.046	7.720	2
357	120.110	8.627	2
358	73.444	12.508	2
359	90.893	4.344	2
360	161.186	34.808	2
361	88.771	11.198	2
362	153.808	7.464	2
363	117.902	28.755	2
364	66.611	9.285	2
365	55.842	4.635	2
366	60.150	6.643	2
367	54.593	16.505	2
368	72.039	1.455	2
369	101.878	4.608	2
370	52.382	3.459	2
371	37.784	1.547	2
372	71.558	7.835	2
373	52.467	13.587	2
374	66.087	.401	2
375	89.099	3.854	2
376	52.363	.578	2
377	56.283	3.915	2
378	50.265	4.783	2
379	65.193	.388	2
380	126.314	11.689	2
381	86.137	6.849	2
382	98.231	10.231	2
383	73.598	.647	2
384	109.249	17.380	2
385	60.366	.334	2
386	62.737	10.589	2
387	82.953	2.160	2
388	91.338	10.097	2
389	84.120	8.304	2
390	98.705	.127	2
391	115.897	21.397	2
392	76.501	2.848	2
393	121.395	5.311	2
394	31.052	5.185	2
395	48.325	.661	2
396	122.067	12.645	2
397	83.289	3.409	2
398	72.810	1.999	2
399	40.352	2.927	2
400	61.076	.968	2
401	60.733	5.451	2
402	91.567	6.852	2
403	82.242	.700	2
404	78.493	7.619	2
405	79.305	11.968	2
406	78.514	11.363	2
407	73.698	2.846	2
408	77.655	14.255	2
409	66.289	3.021	2
410	74.373	1.539	2
411	46.063	4.872	2
412	47.302	5.644	2
413	67.312	5.864	2
414	47.451	13.832	2
415	36.213	5.279	2
416	75.271	7.232	2
417	56.843	10.954	2
418	89.125	3.890	2
419	88.852	3.911	2
420	77.993	9.063	2
421	87.503	2.048	2
422	129.339	1.355	2
423	70.785	2.538	2
424	167.924	18.406	2
425	78.183	8.277	2
426	69.652	1.417	2
427	72.527	15.699	2
428	52.676	4.754	2
429	75.176	22.820	2
430	42.880	2.589	2
431	55.702	7.368	2
432	49.422	12.985	2
433	16.208	.254	2
434	52.108	8.883	2
435	53.890	3.386	2
436	49.588	2.213	2
437	45.051	5.605	2
438	65.401	11.088	2
439	38.859	1.603	2
440	122.757	20.927	2
441	136.819	5.558	2
442	53.899	3.255	2
443	93.666	4.435	2
444	65.309	.306	2
445	59.894	4.063	2
446	123.409	6.679	2
447	121.873	22.797	2
448	69.009	15.996	2
449	94.896	21.046	2
450	106.922	12.865	2
451	168.815	10.812	2
452	86.656	4.893	2
453	119.423	13.047	2
454	40.420	1.047	2
active ASO 1	27.645	3.740	2
456	101.012	12.398	2
457	42.077	5.303	2
458	136.279	15.723	2
459	83.435	10.433	2
460	120.780	20.722	2
461	59.628	3.691	2
462	81.172	9.499	2
463	63.939	5.098	2
464	84.273	2.288	2
