animal	img_dpi	flux
55679	0	0.77
55680	0	0.52
55682	0	0.53
55683	0	0.7
55684	0	0.6
55686	0	0.69
55687	0	0.52
55688	0	0.64
55689	0	0.73
55690	0	0.81
55693	0	0.76
55695	0	0.87
55696	0	0.76
55697	0	0.82
55704	0	0.67
55705	0	0.8
55710	0	0.77
55711	0	0.71
55712	0	0.75
55722	0	0.91
55723	0	0.84
55724	0	0.72
55725	0	0.64
55726	0	0.67
55727	0	0.56
55734	0	0.65
55735	0	0.91
55736	0	0.7
55737	0	0.52
55738	0	0.78
55739	0	0.84
55746	0	1.13
55747	0	0.67
55748	0	0.56
55752	0	0.91
55753	0	0.54
55761	0	0.697
55762	0	0.963
55763	0	1.04
55764	0	0.746
55765	0	1.07
55769	0	0.648
55770	0	0.481
55771/2	0	0.528
55772	0	0.514
55773	0	0.765
55679	12	0.574
55680	12	0.676
55682	12	0.923
55683	12	0.357
55684	12	0.66
55686	12	0.792
55687	12	0.783
55688	12	0.775
55689	12	0.516
55690	12	1.16
55693	12	0.638
55695	12	1.07
55696	12	0.84
55697	12	0.677
55704	12	0.641
55705	12	0.774
55710	12	0.733
55711	12	1.01
55712	12	0.771
55713	12	1.1
55722	12	0.472
55723	12	1.36
55724	12	1.17
55725	12	0.604
55726	12	0.616
55727	12	0.852
55734	12	0.798
55735	12	0.567
55736	12	0.639
55737	12	0.817
55738	12	0.852
55739	12	0.46
55746	12	0.576
55747	12	0.905
55748	12	0.458
55752	12	0.395
55753	12	0.604
55761	12	2.99
55762	12	0.951
55763	12	0.667
55764	12	0.637
55765	12	1.06
55769	12	0.444
55770	12	1.49
55771/2	12	0.97
55772	12	0.595
55773	12	0.898
55860	12	0.663
55861	12	0.724
55864	12	0.764
55679	22	0.794
55680	22	0.479
55682	22	0.842
55683	22	0.824
55684	22	0.797
55686	22	0.756
55687	22	1.03
55688	22	0.789
55689	22	0.853
55690	22	1.39
55693	22	0.744
55695	22	0.591
55696	22	0.791
55697	22	0.745
55704	22	0.966
55705	22	1.24
55710	22	1.09
55711	22	1.74
55712	22	0.814
55713	22	0.794
55722	22	0.907
55723	22	1.68
55724	22	0.703
55725	22	0.591
55726	22	1
55727	22	0.684
55734	22	0.481
55735	22	0.829
55736	22	0.992
55737	22	1.01
55738	22	0.87
55739	22	1.11
55746	22	1.32
55747	22	1.02
55748	22	0.543
55752	22	0.819
55753	22	0.665
55761	22	1.18
55762	22	0.967
55763	22	0.84
55764	22	1
55765	22	1.1
55769	22	0.889
55770	22	0.749
55771/2	22	0.892
55772	22	0.5
55773	22	0.93
55860	22	0.956
55861	22	0.829
55864	22	1.05
55679	34	0.887
55680	34	0.65
55682	34	0.688
55683	34	0.999
55684	34	0.93
55686	34	1
55687	34	0.812
55688	34	0.561
55689	34	1.1
55690	34	1.43
55693	34	1.18
55695	34	0.414
55696	34	0.804
55697	34	0.674
55704	34	1.01
55705	34	1.08
55710	34	0.925
55711	34	1.07
55712	34	1.02
55713	34	0.902
55722	34	1.33
55723	34	1.29
55724	34	1.262
55725	34	0.61
55726	34	0.567
55727	34	1.16
55734	34	0.719
55735	34	0.928
55736	34	0.963
55737	34	1.1
55738	34	0.719
55739	34	1.01
55746	34	0.892
55747	34	0.637
55748	34	0.614
55752	34	0.756
55753	34	0.66
55761	34	1.14
55762	34	1.044
55763	34	0.954
55764	34	1.88
55765	34	1.09
55769	34	0.629
55770	34	0.74
55771/2	34	0.786
55772	34	0.7
55773	34	0.997
55860	34	1.516
55861	34	0.786
55864	34	0.849
55679	42	0.927
55680	42	0.481
55682	42	1.19
