expt	cohort	animal	cage	strain	treatment	dose	timepoint	display	color	lty	x
D	DR-000	DA1	DA	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DA2	DA	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DA3	DA	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DA4	DA	RML	saline	0	-14	0	#999999	1	1
D	DR-030	DB1	DB	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DB2	DB	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DB3	DB	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DB4	DB	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-100	DC1	DC	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DC2	DC	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DC3	DC	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DC4	DC	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-300	DD1	DD	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DD2	DD	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DD3	DD	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DD4	DD	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-500	DE1	DE	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DE2	DE	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DE3	DE	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DE4	DE	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-000	DF1	DF	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DF2	DF	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DF3	DF	RML	saline	0	-14	0	#999999	1	1
D	DR-000	DF4	DF	RML	saline	0	-14	0	#999999	1	1
D	DR-030	DG1	DG	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DG2	DG	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DG3	DG	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-030	DG4	DG	RML	active ASO 1	30	-14	30	#FBB4B9	1	2
D	DR-100	DH1	DH	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DH2	DH	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DH3	DH	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-100	DH4	DH	RML	active ASO 1	100	-14	100	#F768A1	1	3
D	DR-300	DI1	DI	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DI2	DI	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DI3	DI	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-300	DI4	DI	RML	active ASO 1	300	-14	300	#C51B9A	1	4
D	DR-500	DJ1	DJ	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DJ2	DJ	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DJ3	DJ	RML	active ASO 1	500	-14	500	#7A0177	1	5
D	DR-500	DJ4	DJ	RML	active ASO 1	500	-14	500	#7A0177	1	5
T	T-PRE7-PBS	TG1	TG	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TG2	TG	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TG3	TG	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TG4	TG	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-ACTIVE6	TI1	TI	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TI2	TI	RML	active ASO 6	500	NA	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TI3	TI	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TI4	TI	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-PBS	TJ1	TJ	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TJ2	TJ	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TJ3	TJ	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-PBS	TJ4	TJ	RML	saline	NA	-7	saline	#7C7C7C	1	-7
T	T-PRE7-ACTIVE6	TK1	TK	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TK2	TK	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TK3	TK	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-PRE7-ACTIVE6	TK4	TK	RML	active ASO 6	500	-7	active ASO 6	#41B6C4	1	-7
T	T-1DPI-PBS	TL1	TL	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TL2	TL	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TL3	TL	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TL4	TL	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-ACTIVE6	TM1	TM	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TM2	TM	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TM3	TM	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TM4	TM	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-PBS	TN1	TN	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TN2	TN	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TN3	TN	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-PBS	TN4	TN	RML	saline	NA	1	saline	#7C7C7C	1	1
T	T-1DPI-ACTIVE6	TO1	TO	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TO2	TO	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TO3	TO	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-1DPI-ACTIVE6	TO4	TO	RML	active ASO 6	500	1	active ASO 6	#41B6C4	1	1
T	T-105DPI-PBS	TP1	TP	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TP2	TP	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TP3	TP	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TP4	TP	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-ACTIVE6	TQ1	TQ	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TQ2	TQ	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TQ3	TQ	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TQ4	TQ	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-PBS	TR1	TR	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TR2	TR	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TR3	TR	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-PBS	TR4	TR	RML	saline	NA	105	saline	#7C7C7C	1	105
T	T-105DPI-ACTIVE6	TS1	TS	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TS2	TS	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TS3	TS	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-105DPI-ACTIVE6	TS4	TS	RML	active ASO 6	500	105	active ASO 6	#41B6C4	1	105
T	T-120DPI-PBS	TT1	TT	RML	saline	NA	120	saline	#7C7C7C	1	120
T	T-120DPI-PBS	TT2	TT	RML	saline	NA	120	saline	#7C7C7C	1	120
T	T-120DPI-PBS	TT3	TT	RML	saline	NA	120	saline	#7C7C7C	1	120
T	T-120DPI-PBS	TT4	TT	RML	saline	NA	120	saline	#7C7C7C	1	120
T	T-120DPI-ACTIVE6	TU1	TU	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
T	T-120DPI-ACTIVE6	TU2	TU	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
T	T-120DPI-ACTIVE6	TU3	TU	RML	active ASO 6	500	120	active ASO 6	#41B6C4	1	120
