cage	dpi	edry	nslt	comb
ZA	92	2	2	2
ZB	92	2	2	2
ZC	92	2	2	2
ZD	92	2	2	2
ZE	89	2	2	2
ZF	89	2	2	2
ZG	89	2	2	2
ZH	89	2	2	2
ZI	89	2	2	2
ZJ	89	2	2	2
ZK	89	2	2	2
ZL	89	2	2	2
ZM	86	2	2	2
ZN	86	2	2	2
ZO	86	2	2	2
ZP	86	2	2	2
ZQ	84	2	2	2
ZR	84	2	2	2
ZS	84	2	2	2
ZA	99	2	2	2
ZB	99	2	2	2
ZC	99	2	2	2
ZD	99	2	2	2
ZE	96	2	2	2
ZF	96	2	2	2
ZG	96	2	2	2
ZH	96	2	2	2
ZI	96	2	2	2
ZJ	96	2	2	2
ZK	96	2	2	2
ZL	96	2	2	2
ZM	93	2	2	2
ZN	93	2	2	2
ZO	93	2	2	2
ZP	93	2	2	2
ZQ	91	2	2	2
ZR	91	2	2	2
ZS	91	2	2	2
ZA	106	2	2	2
ZB	106	2	2	2
ZC	106	2	2	2
ZD	106	2	2	2
ZE	103	2	2	2
ZF	103	2	2	2
ZG	103	2	2	2
ZH	103	2	2	2
ZI	103	2	2	2
ZJ	103	2	2	2
ZK	103	2	2	2
ZL	103	2	2	2
ZM	100	2	2	2
ZN	100	2	2	2
ZO	100	2	2	2
ZP	100	2	2	2
ZQ	98	2	2	2
ZR	98	2	2	2
ZS	98	2	2	2
ZA	113	2	2	2
ZB	113	2	2	2
ZC	113	2	2	2
ZD	113	2	2	2
ZE	110	2	2	2
ZF	110	2	2	2
ZG	110	2	2	2
ZH	110	2	2	2
ZI	110	2	2	2
ZJ	110	2	2	2
ZK	110	2	2	2
ZL	110	2	2	2
ZM	107	2	2	2
ZN	107	2	2	2
ZO	107	2	2	2
ZP	107	2	2	2
ZQ	105	2	2	2
ZR	105	2	2	2
ZS	105	2	2	2
ZT	105	2	2	2
ZA	122	1	1.5	1.25
ZB	122	2	2	2
ZC	122	0	1	0.5
ZD	122	2	2	2
ZE	119	1	1	1
ZF	119	2	2	2
ZG	119	0.5	0.5	0.5
ZH	119	0	1	0.5
ZI	119	0.5	0.5	0.5
ZJ	119	2	2	2
ZK	119	2	2	2
ZL	119	1	1	1
ZM	116	2	2	2
ZN	116	2	2	2
ZO	116	2	2	2
ZP	116	2	2	2
ZR	114	2	2	2
ZS	114	2	2	2
ZT	114	2	2	2
ZA	129	2	2	2
ZB	129	2	2	2
ZC	129	2	2	2
ZD	129	2	2	2
ZE	126	1.5	1.5	1.5
ZF	126	1.5	1.5	1.5
ZG	126	1.5	1.5	1.5
ZH	126	0.5	1	0.75
ZI	126	1	1	1
ZJ	126	1.5	1.5	1.5
ZK	126	2	2	2
ZL	126	1.5	1.5	1.5
ZM	123	2	2	2
ZN	123	2	2	2
ZO	123	2	2	2
ZP	123	2	2	2
ZQ	121	2	2	2
ZR	121	2	2	2
ZS	121	2	2	2
ZT	121	1.5	1.5	1.5
ZA	143	0.5	1	0.75
ZB	143	2	2	2
ZC	143	0.5	1	0.75
ZD	143	0.5	1.5	1
ZE	140	0	1	0.5
ZF	140	0	1	0.5
ZG	140	0.5	0	0.25
ZH	140	0	1	0.5
ZI	140	0	0	0
ZJ	140	0.5	1	0.75
ZK	140	1.5	1.5	1.5
ZL	140	0	1.5	0.75
ZM	137	0	1	0.5
ZN	137	1	1	1
ZO	137	1	1	1
ZP	137	2	2	2
ZQ	135	0	1	0.5
ZR	135	1	1	1
ZS	135	1	1	1
ZA	150	0	0.5	0.25
ZB	150	0	0	0
ZC	150	0	0	0
ZD	150	0.5	0.5	0.5
ZE	147	0	1	0.5
ZF	147	0	0	0
ZG	147	0	0	0
ZH	147	0	0	0
ZI	147	0	0.5	0.25
ZJ	147	0	0.5	0.25
ZK	147	0.5	1.5	1
ZL	147	0	1	0.5
ZM	144	0	0	0
ZN	144	0	0	0
ZO	144	0	1	0.5
ZP	144	0	0.5	0.25
ZQ	142	0	1	0.5
ZR	142	0	0	0
ZS	142	2	2	2
ZA	157	0	0.5	0.25
ZB	157	0.5	1	0.75
ZC	157	0.5	1	0.75
ZD	157	0.5	1.5	1
ZE	154	0	1	0.5
ZF	154	0	0.5	0.25
ZG	154	0	0.5	0.25
ZH	154	0	0.5	0.25
ZI	154	0	1	0.5
ZJ	154	0	0.5	0.25
ZK	154	2	2	2
