expt	cohort	n	display	color	lty	x	color2	lty2	display2
01	01-ACTIVE1	12	active ASO 1	#0909FF	1	4		NA	
01	01-ACTIVE2	12	active ASO 2	#09C009	1	5		NA	
01	01-CONTROL3	12	control ASO 3	#91724A	1	6		NA	
01	01-NBH	16	uninoculated	#AAAAAA	3	1		NA	
01	01-PBS	12	saline	#7C7C7C	1	3		NA	
01	01-none	20	no treatment	#000000	1	2		NA	
D	DR-000	8	0	#999999	1	1		NA	
D	DR-030	8	30	#FBB4B9	1	2		NA	
D	DR-100	8	100	#F768A1	1	3		NA	
D	DR-300	8	300	#C51B9A	1	4		NA	
D	DR-500	8	500	#7A0177	1	5		NA	
G	G-22L-WT	8	22L	#000000	1	2	#008837	1	wild-type
G	G-22L-ZH3	8	22L	#E66101	1	2	#008837	3	Prnp+/-
G	G-Fu1-WT	8	Fukuoka-1	#000000	1	3	#EEB900	1	wild-type
G	G-Fu1-ZH3	8	Fukuoka-1	#E66101	1	3	#EEB900	3	Prnp+/-
G	G-ME7-WT	8	ME7	#000000	1	4	#2C7BB6	1	wild-type
G	G-ME7-ZH3	8	ME7	#E66101	1	4	#2C7BB6	3	Prnp+/-
G	G-OSU-WT	8	OSU	#000000	1	5	#7B3294	1	wild-type
G	G-OSU-ZH3	8	OSU	#E66101	1	5	#7B3294	3	Prnp+/-
G	G-RML-WT	8	RML	#000000	1	1	#E7298A	1	wild-type
G	G-RML-ZH3	7	RML	#E66101	1	1	#E7298A	3	Prnp+/-
L	L-ACTIVE7	6			NA	NA		NA	
L	L-ACTIVE8	6			NA	NA		NA	
L	L-ACTIVE5	5			NA	NA		NA	
L	L-ACTIVE6	6			NA	NA		NA	
L	L-CONTROL4	6			NA	NA		NA	
L	L-ACTIVE1	6			NA	NA		NA	
L	L-CONTROL3	6			NA	NA		NA	
L	L-PBS	6			NA	NA		NA	
L	L-died	1			NA	NA		NA	
M	M-ACTIVE5	10	active ASO 5	#C21FB8	1	2		NA	
M	M-ACTIVE6	10	active ASO 6	#41B6C4	1	3		NA	
M	M-CONTROL4	10	control ASO 4	#855E42	1	4		NA	
M	M-PBS	10	saline	#7C7C7C	1	1		NA	
P	d120-MOE-ACTIVE5	10	active ASO 5	#C21FB8	1	2		NA	
P	d120-MOE-ACTIVE6	10	active ASO 6	#41B6C4	1	3		NA	
P	d120-MOE-CONTROL4	10	control ASO 4	#855E42	1	4		NA	
P	d120-MOE-PBS	10	saline	#7C7C7C	1	1		NA	
P	d120-MOE-sack	3			NA	NA		NA	
P	path-RML	5			NA	NA		NA	
Q	Q-ACTIVE1	8	active ASO 1	#0909FF	1	2		NA	
Q	Q-PBS	8	saline	#7C7C7C	1	2		NA	
R	R-ACTIVE1	8	active ASO 1	#0909FF	1	6		NA	
R	R-PBS	8	saline	#7C7C7C	1	6		NA	
S	S-22L-ACTIVE1	8	active ASO 1	#0909FF	1	2		NA	
S	S-22L-PBS	8	saline	#7C7C7C	1	2		NA	
S	S-Fu1-ACTIVE1	8	active ASO 1	#0909FF	1	3		NA	
S	S-Fu1-PBS	8	saline	#7C7C7C	1	3		NA	
S	S-ME7-ACTIVE1	8	active ASO 1	#0909FF	1	4		NA	
S	S-ME7-PBS	8	saline	#7C7C7C	1	4		NA	
S	S-OSU-ACTIVE1	8	active ASO 1	#0909FF	1	5		NA	
S	S-OSU-PBS	8	saline	#7C7C7C	1	5		NA	
S	S-RML-ACTIVE1	8	active ASO 1	#0909FF	1	1		NA	
S	S-RML-PBS	8	saline	#7C7C7C	1	1		NA	
T		1			NA	NA		NA	
T	T-105DPI-ACTIVE6	8	active ASO 6	#41B6C4	1	105		NA	
T	T-105DPI-PBS	8	saline	#7C7C7C	1	105		NA	
T	T-120DPI-ACTIVE6	8	active ASO 6	#41B6C4	1	120		NA	
T	T-120DPI-PBS	8	saline	#7C7C7C	1	120		NA	
T	T-1DPI-ACTIVE6	8	active ASO 6	#41B6C4	1	1		NA	
