animal	dpi	weight
DA1	122	24.1
DA2	122	26.8
DA3	122	23.2
DA4	122	22.6
DB1	122	26.8
DB2	122	27.9
DB3	122	30.2
DB4	122	22.3
DC3	122	24.7
DC4	122	21
DD1	122	21.8
DD2	122	24.4
DD3	122	29.3
DD4	122	24.1
DE1	122	24.9
DE2	122	23.9
DE3	122	27.6
DE4	122	28.9
DF1	122	24.5
DF2	122	23.6
DF3	122	22
DF4	122	23.4
DG1	122	23.1
DG2	122	27.4
DG3	122	22.4
DH1	122	32
DH2	122	24.8
DH3	122	22.9
DH4	122	30.5
DI3	122	25.6
DI4	122	25.1
DJ1	122	23.8
DJ2	122	17
DJ3	122	29.4
DJ4	122	31.9
DA1	124	23.9
DA2	124	26.7
DA3	124	23.1
DA4	124	23.1
DB1	124	27.6
DB2	124	28.5
DB3	124	31.4
DB4	124	23
DC3	124	25.4
DC4	124	21.2
DD1	124	23.4
DD2	124	24
DD3	124	29.6
DD4	124	24.5
DE1	124	26
DE2	124	23.7
DE3	124	27.3
DE4	124	29.7
DF1	124	24.7
DF2	124	24.1
DF3	124	23
DF4	124	23.7
DG1	124	23.1
DG2	124	28.3
DG3	124	22.5
DH1	124	32
DH2	124	25.3
DH3	124	23.9
DH4	124	31.2
DI3	124	25.8
DI4	124	26.1
DJ1	124	24
DJ2	124	16.2
DJ3	124	30.7
DJ4	124	32.2
DA1	126	23.9
DA2	126	27
DA3	126	23.3
DA4	126	22.7
DB1	126	26.8
DB2	126	28.7
DB3	126	30.9
DB4	126	22.5
DC3	126	25.2
DC4	126	21.3
DD1	126	22.5
DD2	126	24.9
DD3	126	29.2
DD4	126	24.3
DE1	126	25.5
DE2	126	23.5
DE3	126	27.8
DE4	126	29.5
DF1	126	24.5
DF2	126	23.7
DF3	126	22.4
DF4	126	23.7
DG1	126	23.7
DG2	126	27.9
DG3	126	22.8
DH1	126	31.5
DH2	126	25.9
DH3	126	23.8
DH4	126	30.8
DI3	126	26.3
DI4	126	25.7
DJ1	126	23.6
DJ3	126	29.4
DJ4	126	32.1
DA1	130	23.6
DA2	130	26.7
DA3	130	22.9
DA4	130	22.2
DB1	130	26.7
DB2	130	28.4
DB3	130	30.9
DB4	130	22.3
DC3	130	25.1
DC4	130	21.6
DD1	130	22.6
DD2	130	24.6
DD3	130	29.9
DD4	130	24.1
DE1	130	25.1
DE2	130	23.2
DE3	130	27.1
DE4	130	29.5
DF1	130	23.9
DF2	130	24.3
DF3	130	21.1
DF4	130	23.3
DG1	130	23.3
DG2	130	27.9
DG3	130	22.9
DH1	130	30.6
DH2	130	26.3
DH3	130	23.6
DH4	130	31.5
DI3	130	25.8
DI4	130	25.5
DJ1	130	23.9
DJ3	130	29.1
DJ4	130	31.6
DA1	132	24.4
DA2	132	27.3
DA3	132	23.5
DA4	132	22.1
DB1	132	27.4
DB2	132	28.5
DB3	132	30.5
DB4	132	23
