feature	start	end	lwd
exon 1	131909928	131910003	5
intron 1	131910004	131912194	1
exon 2	131912195	131912292	5
intron 2	131912293	131936419	1
exon 3	131936420	131938429	5
open reading frame	131936430	131937195	10
